Model,Key,Zero Difference,Scaled Optimized Difference,Raw Optimized Difference,Optimized Better,Optimized Params
deffuant,imwbcnt,0.34837861524978087,0.0025009499241027146,0.3492498927211488,False,"{'mu': 0.23357448909847117, 'epsilon': 0.9312391117513793, 'interactions': 12}"
deffuant,stfdem,0.47716330513988287,0.0001636214889555968,0.4772413793103448,False,"{'mu': 0.33618520361605664, 'epsilon': 0.8602191646362778, 'interactions': 1}"
deffuant,trstun,0.3058933582787652,0.012476771867863666,0.309709919925904,False,"{'mu': 0.26737621123627214, 'epsilon': 0.9805915580760683, 'interactions': 46}"
deffuant,ppltrst,0.3265771812080537,0.0026137772940886747,0.3274307812290628,False,"{'mu': 0.4066548110954949, 'epsilon': 0.9106475168214645, 'interactions': 117}"
deffuant,happy,0.30066476733143405,0.022256524094955182,0.3073565199700502,False,"{'mu': 0.4884337517865599, 'epsilon': 0.8022965187172919, 'interactions': 68}"
deffuant,rlgdgr,0.30133587786259547,0.006501922678373435,0.30329514044067785,False,"{'mu': 0.20946210629801965, 'epsilon': 0.7929666183792036, 'interactions': 23}"
hk_averaging,imwbcnt,0.34837861524978087,0.000559582297924147,0.34857356175584997,False,"{'epsilon': 0.867521201851524, 'agents': 0.0038592028797652033}"
hk_averaging,stfdem,0.47716330513988287,0.00112423132794694,0.4776997470760678,False,"{'epsilon': 0.361264953009826, 'agents': 0.016040112042738357}"
hk_averaging,trstun,0.3058933582787652,0.040876231181276555,0.31839712590858504,False,"{'epsilon': 0.6838279816526978, 'agents': 0.053391080702595684}"
hk_averaging,ppltrst,0.3265771812080537,0.010016663934089072,0.32984839508075686,False,"{'epsilon': 0.46520653274235846, 'agents': 0.07687536517956162}"
hk_averaging,happy,0.30066476733143405,0.0034325955670805913,0.30169682787895324,False,"{'epsilon': 0.5519793642190302, 'agents': 0.048245642681110104}"
hk_averaging,rlgdgr,0.30133587786259547,0.0003370651732739255,0.3014374476924809,False,"{'epsilon': 0.2737054754894195, 'agents': 0.0022598653414795875}"
carpentras,imwbcnt,0.34837861524978087,0.009355112760472812,0.35163773647877994,False,"{'shift_amount': 0.05772510273598021, 'flip_prob': 0.027629824203044603, 'mob_min': 0.07321889458974223, 'mob_max': 0.168133855960833, 'iterations': 163}"
carpentras,stfdem,0.47716330513988287,-3.2356483908369105e-05,0.47714786581307844,True,"{'shift_amount': 0.0536077475044376, 'flip_prob': 0.028080005154167736, 'mob_min': 0.0503980082815364, 'mob_max': 0.1594533459521193, 'iterations': 237}"
carpentras,trstun,0.3058933582787652,-0.004413108142840432,0.30454341780850436,True,"{'shift_amount': 0.018133929847663845, 'flip_prob': 0.03628563054962431, 'mob_min': 0.05560988600223086, 'mob_max': 0.1739184730652557, 'iterations': 286}"
carpentras,ppltrst,0.3265771812080537,-0.02078039444315699,0.31979077856641597,True,"{'shift_amount': 0.03088923521189968, 'flip_prob': 0.07742176835936837, 'mob_min': 0.06405959929640358, 'mob_max': 0.1788318375373845, 'iterations': 575}"
carpentras,happy,0.30066476733143405,0.013462790967463696,0.30471255424529825,False,"{'shift_amount': 0.037614955061753046, 'flip_prob': 0.04277280369614321, 'mob_min': 0.0064113123573381475, 'mob_max': 0.16644904492997858, 'iterations': 206}"
carpentras,rlgdgr,0.30133587786259547,-0.02049184008426872,0.29516095124178243,True,"{'shift_amount': 0.03728438529508164, 'flip_prob': 0.052942594376329616, 'mob_min': 0.09237419028993459, 'mob_max': 0.29098620201986164, 'iterations': 298}"
