zero_diff,explained_variance,opt_mean_diff,opt_std_diff
0.2389323001259696,1.0,0.16239043481655205,0.043035108450316585
0.09523403425466985,0.4533885814498919,0.08326096164568245,0.00811017144472771
0.1990445559930374,0.5433045356683274,0.1312954026893638,0.01598366399174881
0.06597469911962166,0.1255503854971541,0.06472404269031548,0.0009810280869976564
0.14276843222679594,0.30817952043390534,0.09468646645844439,0.005075642416294853
0.11385584850605134,0.40585397570721266,0.08653272972954276,0.0038408556597815074
0.08378635227360977,0.09471247171198782,0.0814988597627448,0.0016141041748599016
0.07284015189333735,0.22688552680097207,0.07098734853766937,0.0011855045086768576
0.10240473734198421,0.3661543850131867,0.08088160446080281,0.002838767691113772
0.07564439487111027,0.16826376659515746,0.07446931611233552,0.0008990166987542837
0.1232506251069145,0.28924020912112564,0.11829505646980032,0.003859629489956755
0.1198057337051675,0.4060173522544641,0.11402825914184211,0.003216782406893371
0.11075649408240766,0.34271394301908636,0.10789078640248503,0.0038686757510600434
0.1061240053316447,0.25157228209607896,0.10523820443302016,0.0018711912800832868
0.09118151286098933,0.070969415518161,0.09052689990043443,0.0020119252084458777
0.08505044517491116,0.18197034748459198,0.08406628234958606,0.0007850961313845634
0.08961301455354512,0.11159366814607896,0.08827770793326985,0.0016720325814890671
0.08555461072859874,0.2133503855403871,0.08624939349684048,0.0014951965303792176
0.10868504377467626,0.3279985497369823,0.10701564555396,0.001392834412248062
0.09637799800113106,0.35370510608468025,0.0955177443682795,0.0016317049744199905
0.11609035764494872,0.12228425991291617,0.11547674623014029,0.0016316657634522108
0.10556354800336162,0.19729882437854007,0.10465984839520677,0.0010261117879853405
0.13345103241472547,0.07107021617157058,0.1321113670260878,0.0015110749560725862
0.1120893841691194,0.10062682839146388,0.11619059644472562,0.006713041242998135
0.0983687398362458,0.08720974222699157,0.10016519741824274,0.0017721700592074894
0.11007010254037827,0.16717759207294283,0.11020930800903135,0.0018815914147341556
0.10526327509910191,0.140525267308676,0.10590819780750638,0.0013015796934965353
0.09304700537103702,0.24205252821563397,0.09374077748817444,0.0007830656449468599
0.11716107677732837,0.2402156847166676,0.11798244189399094,0.0009363181029949192
0.08930492501005496,0.17116306732457479,0.08936436882342963,0.001018259647470275
0.10717667047048256,0.05878243279991734,0.11203436922066738,0.002483067125105436
0.09555358367174478,0.28390214461379604,0.09557717893923058,0.00016005067177538832
0.09999792573718853,0.1913376629341465,0.10207659179974618,0.0021443214026438417
0.09033431657816701,0.13475813265486522,0.09220810153064317,0.0010165062290499766
0.15381766783253728,0.17668468891583813,0.1577733511935492,0.005719421007325773
0.2629859028689763,0.29917245040742074,0.26185257175578835,0.002861873153348157
0.09731804020772727,0.17419234557493607,0.0975640704792159,0.0012587995421917018
0.12758235473226184,0.08720249391672213,0.1277916748833529,0.0002433674837993774
0.16146180366226914,0.16485222870267346,0.16630035039485225,0.002476150842503666
0.21151882187976767,0.12401765737439009,0.2095386705643917,0.009147904103709952
0.16948851643660895,0.14496605556197703,0.16926249756593176,0.002652473388388676
0.11299876048992377,0.2507786526651689,0.11224567898249253,0.0010841195184865386
0.09461399950887778,0.1844725289851568,0.09660324023972924,0.001378009302326511
0.10147053217786041,0.1290208021372167,0.10157843991439752,0.00023870615339907167
0.31723659200399545,0.06630227487113968,0.3393363140142004,0.014395893920811548
0.49178252282739066,0.1557937306074782,0.4994368811111517,0.01954855733571086
0.2704196257929823,0.09281643557575323,0.2729359878304417,0.010617135022389378
0.45463536702342716,0.22461817459871614,0.45535249322289556,0.0007046795040355766
0.3035941856238267,0.13711560997547032,0.3105810396403843,0.010986396052784172
0.15121594596797613,0.1185161248878632,0.16428978831364502,0.006102709945903231
0.3117972190631818,0.19850114101486732,0.3134095104713982,0.019820460409577304
0.5988940224436121,0.0725087354845333,0.6063619118690035,0.00832053811577072
0.5538297690553037,0.06542409978312355,0.6201233354343242,0.03429171121451954
0.6563329627720934,0.14909806271407078,0.6573485900168382,0.027523100206124997
0.5346992353509264,0.0841994722888648,0.546414994741364,0.011239990985547349
0.4623466370409187,0.0510763958565285,0.5181089374366994,0.02184049914993814
0.806700505063822,0.1114761987246966,0.8099019591343948,0.004509887754435697
0.8493018494401773,0.050245705568385056,0.8679194343864749,0.014466150704479399
