noise,zero_diff,explained_variance,opt_mean_diff,opt_std_diff
0.0,0.0617745533136049,1.0,0.06299688576326852,0.005860068286947348
0.005050505050505051,0.07373612340338662,0.9187882014627003,0.08142609687535085,0.00921590259137162
0.010101010101010102,0.07536965556685096,0.7144756296641955,0.07283790778224813,0.0075397094267266795
0.015151515151515152,0.07006266959646454,0.5212366226901661,0.06303896516826847,0.00521568887164342
0.020202020202020204,0.05436893050453251,0.3783910013947124,0.05141875879367895,0.005810381697989366
0.025252525252525256,0.05058898170249,0.300217647106937,0.04971568975665722,0.0021180804647944517
0.030303030303030304,0.04724485217379516,0.20338223084002063,0.045543059594711555,0.0014717146441777763
0.03535353535353536,0.04836822039495092,0.16766913094670838,0.04658219184788159,0.0023932793635316452
0.04040404040404041,0.04791946749905086,0.11819159760322615,0.045106680731324865,0.0013658244159815741
0.045454545454545456,0.04685167636736508,0.0978542489909485,0.04489295257429449,0.0015021147801872604
0.05050505050505051,0.05531294102881788,0.06914097034654186,0.05431973823576634,0.0009465773270542041
0.05555555555555556,0.05248968955530151,0.06707261865494377,0.05185564174562254,0.00043088504957772283
0.06060606060606061,0.05106661241564568,0.06948436189546756,0.05172432581824704,0.0012348657297564841
0.06565656565656566,0.055642720439730745,0.04936601976251546,0.05635359075687043,0.0010012667051690152
0.07070707070707072,0.059613285617910336,0.0461699546559956,0.05565711442332344,0.0012352776671079183
0.07575757575757576,0.06254826054858491,0.040154384709991935,0.06165031832408393,0.0011268577049491683
0.08080808080808081,0.07024768662537993,0.034686179155777264,0.06744956585799747,0.001465057545110392
0.08585858585858587,0.0528002614772234,0.03024823057163926,0.05273115763361563,0.0009802851787696818
0.09090909090909091,0.05723626408076654,0.02897698486425273,0.056599345632809515,0.0005787652055071891
0.09595959595959597,0.06873572193720053,0.02541225589638208,0.06883335252667788,0.0012142200775763353
0.10101010101010102,0.07215395545496135,0.022813853670360873,0.07232313360713034,0.00026986015639710525
0.10606060606060606,0.06964811702776388,0.02113939205409918,0.07026629662554616,0.0005751539207276849
0.11111111111111112,0.06220299343630109,0.019889691768663904,0.06206722163876449,0.0005969077549358481
0.11616161616161617,0.06360938852709107,0.018230815349376685,0.06342983929551338,0.0019127377649294011
0.12121212121212122,0.07252440703346978,0.01756112588344437,0.0725078513008079,0.0010833162561973899
0.12626262626262627,0.067437404218211,0.013465706904566836,0.06745121586232464,0.0008989876911453057
0.13131313131313133,0.06483524430253108,0.01329000991241539,0.06470426139009387,0.0005000161442315866
0.13636363636363638,0.06449366277758226,0.013904594142849773,0.06505065215366716,0.001106312192874811
0.14141414141414144,0.07378764917268368,0.013290060896369374,0.07380416135563009,0.0002624996389520721
0.14646464646464646,0.07141248858893195,0.01052838758207301,0.07116622495492894,0.0007190527067731191
0.15151515151515152,0.08047824747275843,0.010989827195182841,0.0807072057632547,0.0003750934498519212
0.15656565656565657,0.07515183820616508,0.00942817392042817,0.07488284668045805,0.0004327263638984964
0.16161616161616163,0.08109264839660671,0.01053768892970116,0.08121899776049257,0.00027044755758615514
0.16666666666666669,0.07687182952782558,0.009228060352890416,0.07641330596936574,0.0016296980898307552
0.17171717171717174,0.08277435358316634,0.009166522775937463,0.08156857186819814,0.00138191831855119
0.1767676767676768,0.08292536946255447,0.008226906771079321,0.0829638444727365,8.52173822754255e-05
0.18181818181818182,0.07877708085684126,0.007582650395155974,0.07864101675774321,0.000635308391973496
0.18686868686868688,0.07923102550688214,0.0071399418698071745,0.07980119460927053,0.0005067460011040563
0.19191919191919193,0.07689145404377946,0.0063359638307607154,0.0769554960299997,0.00020046506067046205
0.196969696969697,0.08149660186520277,0.006610547806804184,0.08138558068777255,0.00023417439876165236
0.20202020202020204,0.0846663368879127,0.006946265337477384,0.08547108467128667,0.0023029659722825224
0.2070707070707071,0.08253027983639351,0.006297098109509843,0.08209030610640917,0.0008695413977334867
0.21212121212121213,0.08415111664811889,0.005828548839515647,0.08617649907589586,0.0006328118381596943
0.21717171717171718,0.07931143717742832,0.005925313233005874,0.07969874067955247,0.0005888283662165468
0.22222222222222224,0.07614113162789302,0.00546193510305077,0.07620987758571791,0.0012796467000692144
0.2272727272727273,0.09737590150088786,0.0053637660324289006,0.09802552690711212,0.0007517670872249319
0.23232323232323235,0.09350184991914726,0.005409500478102632,0.0931906245626112,0.001027556352220233
0.2373737373737374,0.08554748724112415,0.00573114164965964,0.08601553726374608,0.0004502509623846784
0.24242424242424243,0.0857172457002186,0.004996148047923571,0.08646600303390412,0.00083047298416996
0.2474747474747475,0.09765172242823256,0.0046306841222979725,0.09743418677282836,0.0008978455126265743
0.25252525252525254,0.07830389215368891,0.0044232131573827245,0.08096100250071556,0.001511162489482348
0.2575757575757576,0.09407059347634107,0.004511208703879116,0.09430977872636334,0.0011206916152599765
0.26262626262626265,0.08263750703773315,0.004249513927338372,0.08299195161219444,0.001471186690083184
0.2676767676767677,0.10842853990345439,0.004950772030328909,0.11025719672666419,0.0009824283507400917
0.27272727272727276,0.1078975586751617,0.004549119366733535,0.10796115029073447,0.00013820394095484257
0.2777777777777778,0.08151454154072708,0.003803065012857043,0.08200411880531998,0.0006824265433599923
0.2828282828282829,0.09160719714710981,0.003475221925040156,0.09209694703163682,0.00055900988034739
0.2878787878787879,0.09997500411409173,0.0037697501845296534,0.10082906994046999,0.0016610726133228367
0.29292929292929293,0.15022445306569687,0.003956024549948992,0.15206216506817652,0.006516400975543548
0.297979797979798,0.10089904708187146,0.003690217703621213,0.10088075686680349,0.0004551338365234854
0.30303030303030304,0.09859454261488024,0.0031996594388890515,0.09906983681679474,0.0003109011520411711
0.3080808080808081,0.0967450875030341,0.0026951105288801672,0.09621758555621066,0.0010928038117826136
0.31313131313131315,0.08165302278758504,0.0030908255660606694,0.08302104252401377,0.002021343084297101
0.31818181818181823,0.2464841410044064,0.003315233258123398,0.24299984082549564,0.007295193404442072
0.32323232323232326,0.09340864008769886,0.002788588697930745,0.09351230471208491,0.0005112953131653089
0.3282828282828283,0.09710839084962966,0.0031394628333564203,0.09698322951231395,0.0004500306813794928
0.33333333333333337,0.13237523869825535,0.0029301014889732365,0.1334503826264836,0.0013811344720483121
0.3383838383838384,0.11526367839960044,0.002993638757667275,0.11628474805641782,0.0016514435388589232
0.3434343434343435,0.2196202892906572,0.0029375661954295423,0.21979756239209386,0.0030245523231290337
0.3484848484848485,0.26063226103119497,0.002517848332888752,0.2629127477855152,0.015761231774112313
0.3535353535353536,0.3572896341001808,0.0022826559092418543,0.3581845713997345,0.0027857563966661313
0.3585858585858586,0.09761833542123007,0.002830863338428725,0.09766151334381426,7.35227851072788e-05
0.36363636363636365,0.1711800936023605,0.0026522604911177966,0.1720520479951299,0.0023042542461621353
0.36868686868686873,0.4368869788982541,0.0027285985391546966,0.4398214952605934,0.006231030783141135
0.37373737373737376,0.45933709820513513,0.0026531728260531704,0.467254769480183,0.011911696804856223
0.37878787878787884,0.1620900412578115,0.0025451050507260386,0.1591532748458261,0.004726134577826401
0.38383838383838387,0.3750246472147243,0.002295104094370521,0.3768494915367563,0.021130528908505728
0.3888888888888889,0.6110268031671128,0.002075803956753806,0.6305860515744851,0.012663482328488984
0.393939393939394,0.310126208093019,0.0019548592853965473,0.34003346906468856,0.02038709718235217
0.398989898989899,0.4784368361501405,0.0023229269260003683,0.48336503187405755,0.014096899127462757
