ess_key,ess_country,sample_size,distorted_better_%,distorted_sample_mean_explained_variance,baseline_sample_mean_explained_variance
stfdem,FI,100,97.0,0.10346109139108023,-0.0053300966191737
happy,PT,100,59.0,-0.01998266085081051,-0.02576012861289575
trstun,SI,100,56.00000000000001,-0.0481705209653549,-0.05513924906921774
ppltrst,HU,100,24.0,0.04015758300619006,0.06851493222274592
imwbcnt,GB,100,20.0,-0.14479471106662986,-0.023362543782968946
rlgdgr,PT,100,1.0,-0.24219883670411363,0.003502307099431071
