noise,zero_diff,explained_variance,opt_mean_diff,opt_std_diff
0.05050505050505051,0.20849790382784458,0.5022369633959539,0.2253996961508749,0.002035396787617641
0.05555555555555556,0.05439328242420006,0.12649094127230578,0.05037898306178703,0.0009033066098871979
0.06060606060606061,0.20767928934748595,0.5406902545658108,0.19816359188893684,0.0031924674358482213
0.06565656565656566,0.13388579368917428,0.5034585841787451,0.07208799845599281,0.0014245011407215476
0.07070707070707072,0.14193721545870444,0.4818405640842195,0.10022343205643772,0.0018972802671953434
0.07575757575757576,0.11310909146743721,0.5042619273807106,0.08221565858058179,0.002498085202127649
0.08080808080808081,0.18469613691316616,0.49301210978143395,0.1615365915118492,0.002159001577964722
0.08585858585858587,0.184637996243778,0.4679638534224441,0.1788171266980917,0.003015875721075573
0.09090909090909091,0.11985288644233494,0.4614749203225384,0.10135515499796885,0.003275889522528817
0.09595959595959597,0.06551932588228654,0.1971142705870934,0.05967545753980723,0.00102699006607024
0.10101010101010102,0.06377735342577065,0.06455723997079027,0.05870551457806037,0.0010773553886807377
0.10606060606060606,0.18346742894152157,0.47574433344614286,0.18640428236572212,0.0029149876235244243
0.11111111111111112,0.1411413400902357,0.3887170900329942,0.123392524278678,0.0033228759048368104
0.11616161616161617,0.1338824100510674,0.37181636899787285,0.13300106450935853,0.0029936457526072435
0.12121212121212122,0.1610221573204693,0.45043638966571115,0.16560891731758173,0.0015850234720646817
0.12626262626262627,0.15943516372596878,0.45709359282504536,0.16365466365588982,0.002475898337065515
0.13131313131313133,0.12476448207367438,0.47048789937949187,0.1257628965742599,0.0021374324665084927
0.13636363636363638,0.16236660012596094,0.42499779655088943,0.1601833713051162,0.0018556846693783802
0.14141414141414144,0.15674361677539644,0.4161611485182957,0.1591355884756617,0.0019722615606045674
0.14646464646464646,0.07142581184587997,0.002673429083352708,0.07151140240717163,0.0007182099854228406
0.15151515151515152,0.07385763487838787,0.04261412143277923,0.06975459472283962,0.0011428607617310817
0.15656565656565657,0.07820388725061075,0.022654360049730024,0.07720203632476866,0.0005096430850839184
0.16161616161616163,0.10868715732061418,0.37278054807474115,0.11060375021560158,0.002820850280839477
0.16666666666666669,0.1531449577683859,0.4355315376849837,0.1532325805148682,0.0021891604653201087
0.17171717171717174,0.0841122441135066,0.02403453098264722,0.08416895926038132,0.0001392464966154269
0.1767676767676768,0.1386041291032573,0.4164403723192775,0.13877996144342958,0.002202464550561878
0.18181818181818182,0.1322005769339823,0.4287281891804144,0.13020765868032053,0.001763422856095504
0.18686868686868688,0.11193628473224274,0.3225301600645817,0.13010453828672144,0.0017193891182206134
0.19191919191919193,0.09328819760585058,0.09126274540294833,0.08879767613710669,0.0010005056096325784
0.196969696969697,0.12049408594217917,0.18062672088427253,0.12135672728739541,0.001688823818639846
0.20202020202020204,0.1260845744463589,0.445313665727843,0.12395723511168948,0.0019355162745545859
0.2070707070707071,0.07896907465358402,0.00023080235908266007,0.08033661076797373,0.0008881663005559562
0.21212121212121213,0.07813911497337661,0.027469270386806764,0.07822245355840798,0.000664719918118656
