noise,zero_diff,explained_variance,opt_mean_diff,opt_std_diff
0.0,0.1292896534192094,1.0,0.13348530759290717,0.013769545566816747
0.0030303030303030303,0.11418180603697808,1.0005083085886408,0.11079744117455079,0.007167448148811547
0.006060606060606061,0.07137227089055638,0.9971671026380824,0.06540616707275773,0.003623929450006126
0.00909090909090909,0.09293919312804703,1.000220442076029,0.09697484745399731,0.004317206836331626
0.012121212121212121,0.079235352812971,1.002856991302999,0.0799450984903691,0.0023271466211032227
0.015151515151515152,0.07664051719464521,0.9982823405331962,0.07351934138802754,0.0028013281754779096
0.01818181818181818,0.20907577379028827,0.9988651906081284,0.1647530058673015,0.01683823976246573
0.021212121212121213,0.11996095591861029,1.000200628863699,0.11539051222591148,0.010307664057157115
0.024242424242424242,0.08084612451138898,0.9880290513176477,0.0671825692790872,0.002384699480081385
0.02727272727272727,0.09304516958440907,0.9970843757572285,0.09239230893147765,0.0038594984935522727
0.030303030303030304,0.09179424160711723,0.9888878925233554,0.09930763235868748,0.010342087978569826
0.03333333333333333,0.11533264537527693,0.9964724277260659,0.11666350562228722,0.009177933847504049
0.03636363636363636,0.07964058768552407,0.9841339322652065,0.07619554703361772,0.004910541912897055
0.03939393939393939,0.07770014940886788,0.9952704483305148,0.07592045684857789,0.0017698224365040917
0.04242424242424243,0.08183491360153825,0.98619982244111,0.08558869165210566,0.007976076691076885
0.045454545454545456,0.1165923860016821,0.9845578362632379,0.11999635176019799,0.013799880768615545
0.048484848484848485,0.11447358292728413,0.9948887580607904,0.1196375677817108,0.005953606548295594
0.051515151515151514,0.14303977372212665,0.9716007163924393,0.11697171681974447,0.014196136264989553
0.05454545454545454,0.10289498473253414,1.0025473318426161,0.09312536657970023,0.006068834619820747
0.05757575757575758,0.10384412903827248,0.9713162582722342,0.113829553128269,0.01261302989316073
0.06060606060606061,0.09483598063107959,0.9757841562134028,0.09508029362544754,0.00466625956830525
0.06363636363636363,0.06547042403004928,0.9717791079316014,0.0685024194475409,0.0034841912555799545
0.06666666666666667,0.16249485295284122,0.9832778674211354,0.14330733189494924,0.011488308842905331
0.0696969696969697,0.11069375933407861,0.9905123324548305,0.08390675902532947,0.005295696520813065
0.07272727272727272,0.06862605335867598,0.9466561758922379,0.07328985904603687,0.004813589311440298
0.07575757575757576,0.0939167761089065,0.9870878262238272,0.0969541529319443,0.005740291877815382
0.07878787878787878,0.09920942174968049,0.9382442440261157,0.09908279909302521,0.007122468861423209
0.08181818181818182,0.09104031509678628,0.9630489220429262,0.09604377953718059,0.007867334454341008
