Model,Key,Run,Zero Difference,Raw Optimized Difference,Scaled Optimized Difference,Optimized Better,Optimized Params
hk_averaging,imwbcnt,0,0.34837861524978087,0.3514971057022073,-0.008951440518788906,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,1,0.34837861524978087,0.35088649745200623,-0.007198726019469537,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,2,0.34837861524978087,0.354568284343687,-0.017767075311061326,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,3,0.34837861524978087,0.34842231159315795,-0.00012542774287611496,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,4,0.34837861524978087,0.349350700304732,-0.0027903120696835654,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,5,0.34837861524978087,0.350912503880404,-0.007273375918342172,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,6,0.34837861524978087,0.3492533111962686,-0.002510762452685615,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,7,0.34837861524978087,0.3465160193297743,0.005346470301201157,True,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,8,0.34837861524978087,0.3528497799167526,-0.012834211031483626,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,9,0.34837861524978087,0.350085485592986,-0.004899469337351158,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,10,0.34837861524978087,0.34874091775437993,-0.0010399676924466267,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,11,0.34837861524978087,0.3500371257701518,-0.004760655355328841,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,12,0.34837861524978087,0.34918283992557286,-0.002308478880701056,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,13,0.34837861524978087,0.3492688194915824,-0.002555278087787533,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,14,0.34837861524978087,0.3488586604672732,-0.0013779411148648107,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,15,0.34837861524978087,0.3481839830767229,0.0005586800237966304,True,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,16,0.34837861524978087,0.34692465885643253,0.004173494955497981,True,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,17,0.34837861524978087,0.34853718739731165,-0.00045517187505064174,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,18,0.34837861524978087,0.3473316983977771,0.003005112272040965,True,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,19,0.34837861524978087,0.34876553917849734,-0.0011106420192842747,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,20,0.34837861524978087,0.34847792513193976,-0.00028506308312779204,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,21,0.34837861524978087,0.34832926300249584,0.00014166267711249633,True,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,22,0.34837861524978087,0.3489766434108491,-0.0017166041051040624,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,23,0.34837861524978087,0.3491688047643941,-0.002268191789116237,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,24,0.34837861524978087,0.34861461219638495,-0.0006774151347805423,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,25,0.34837861524978087,0.34866461323278236,-0.0008209401222759918,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,26,0.34837861524978087,0.34861153358308167,-0.000668578159235762,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,27,0.34837861524978087,0.34811278889392605,0.0007630386717744491,True,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,28,0.34837861524978087,0.34978334443313136,-0.004032191190447585,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,29,0.34837861524978087,0.3477041512704287,0.0019360085545681127,True,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,30,0.34837861524978087,0.34809181988890203,0.0008232289478308142,True,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,31,0.34837861524978087,0.3487970743436502,-0.0012011618266790332,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
hk_averaging,imwbcnt,32,0.34837861524978087,0.3488057003143107,-0.0012259221600717592,False,"{'epsilon': 0.22691075865124566, 'agents': 0.02817385488187052}"
