Model,Key,Run,Zero Difference,Raw Optimized Difference,Scaled Optimized Difference,Optimized Better,Optimized Params
deffuant,imwbcnt,0,0.34837861524978087,0.35007464776284425,-0.004868359993472505,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,1,0.34837861524978087,0.35050115627464457,-0.006092627193382345,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,2,0.34837861524978087,0.3518823240045998,-0.010057186639618597,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,3,0.34837861524978087,0.3502844502785055,-0.0054705855793077554,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,4,0.34837861524978087,0.350591639239704,-0.0063523531383705275,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,5,0.34837861524978087,0.3518024106113856,-0.009827800019096916,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,6,0.34837861524978087,0.3490441279454724,-0.0019103144296453993,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,7,0.34837861524978087,0.3496706800488929,-0.003708794807010901,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,8,0.34837861524978087,0.35046171718942065,-0.005979419655670432,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,9,0.34837861524978087,0.35059116074675106,-0.006350979652938353,False,"{'mu': 0.14995664426806943, 'epsilon': 0.6707049108698018, 'interactions': 34}"
deffuant,imwbcnt,10,0.34837861524978087,0.34871241443256484,-0.0009581506102050795,False,"{'mu': 0.4521621688912173, 'epsilon': 0.3536801018607532, 'interactions': 2}"
deffuant,imwbcnt,11,0.34837861524978087,0.34837861524978087,0.0,False,"{'mu': 0.4521621688912173, 'epsilon': 0.3536801018607532, 'interactions': 2}"
